Driver Users User ID,Driver Users Metro ID,Latitude,Longitude,Driver Rating
29758,27,25.88786,-80.21502,3
42560,27,25.76541,-80.24118,3
43241,27,26.03037283,-80.13525817,3
32099,27,25.7624,-80.2883,3
42544,27,25.7523,-80.238,3
42735,27,25.75102,-80.24066,3
30764,27,40.70389,-73.95599,3
30909,27,25.51435,-80.38111,3
21990,27,25.85037,-80.18682,3
29052,27,25.53635,-80.40206,3
38496,27,25.78171,-80.39729,3
30330,27,25.73414,-80.35514,3
32526,52,40.856084,-73.900306,3
10372,52,40.65734,-73.92593,3
11199,52,40.82067,-73.90082,3
26908,52,40.8113,-73.95244,5
42038,52,40.84099,-73.91121,3
42333,52,40.82789,-73.89918,3
43344,52,40.727218,-74.179144,3
40091,52,40.84539,-73.90494,4
17609,52,40.8413,-73.86336,3
36716,52,40.83254,-73.86895,4
34101,52,40.82604,-73.89106,3
18169,52,40.77291,-73.89886,3
21406,52,40.68716,-73.8585,5
43318,52,40.841735,-73.858548,3
23278,52,40.75959,-73.89775,3
42941,52,42.93352,-78.82792,3
42553,52,40.78259,-73.94973,3
32169,52,40.82771,-73.9372,3
43220,52,40.908339,-73.876707,3
35116,52,40.67713,-73.88142,3
43319,52,40.72678,-74.20745,3
31012,52,40.86796,-73.89575,3
31184,52,40.83712,-73.92317,3
17876,52,40.63917,-73.99917,3
41508,52,40.72726833,-74.18231,3
43534,52,40.82212483,-73.8958305,3
42987,52,40.7858,-73.9475,3
42503,52,40.59085333,-73.78852,4
21395,52,40.84606,-73.93571,3
18232,52,40.866543,-73.893558,3
38009,52,40.72415,-73.74518,3
39991,52,40.80081,-73.95212,3
21117,52,40.794637,-73.95073583,3
41816,52,40.69118,-73.80154,3
11564,52,40.84205,-73.93804,5
41562,52,40.77315267,-73.98753167,5
43222,52,40.87397,-73.87532,3
40092,52,40.84103,-73.91048,3
32664,52,40.87131,-73.88237,3
42783,52,40.865842,-73.9208759,3
38000,52,40.6755,-73.95106,3
28078,52,40.87231,-73.90041,4
27303,52,40.83779,-73.91812,3
9374,52,40.66366,-73.88665,3
43282,52,40.75174183,-73.9983295,3
43630,52,40.83064,-73.91631,3
19236,52,40.7055,-73.59493,3
26376,52,40.60595,-73.98208,3
39445,52,40.67898,-73.84467,5
42259,52,40.8141693,-73.84554848,3
32166,52,40.70813,-73.7971,3
29630,52,40.83495667,-73.875095,4
33584,52,40.79102,-73.93996,3
42329,52,40.807969,-73.854213,3
11200,52,40.82819,-73.93731,5
21863,52,40.86392,-73.92364,3
43226,52,40.81745,-73.84687,3
39919,52,40.81036,-73.94397,5
42551,52,40.68756,-73.83599,5
22861,52,40.87188,-73.86793,3
9864,52,40.83368,-73.92596,3
32926,52,40.78802,-73.94835,3
16388,52,40.80839,-73.91855,5
41564,52,40.8705,-73.86918,3
38004,52,40.84302,-73.88153,3
40085,52,40.82745,-73.90575,3
39396,52,40.78908,-73.93993,3
41814,52,40.85693,-73.90621,5
42552,52,40.6524,-73.95034,3
20707,52,40.86584,-73.89978,3
38039,52,40.70701,-73.80183,3
7682,52,40.72676,-74.0446,4
41941,52,40.88185,-73.88374,3
40498,52,40.78154,-74.0174,3
25959,52,40.7931,-73.9465,3
38578,52,40.83467,-73.91595,3
43219,52,40.81792,-73.94427,3
43225,52,40.85864,-73.8983,3
38322,52,40.8309,-73.93849,5
32667,52,40.81596,-73.95409,3
9934,52,40.85578,-73.92801,3
42036,52,40.78916,-73.94598,3
42343,52,40.81042,-73.93831,3
22135,52,40.66419,-73.89633,5
36866,52,40.82064,-73.89241,3
38236,52,40.82336,-73.89201,4
13291,52,40.80148,-73.96194,3
38755,52,40.716065,-73.986199,3
38323,52,40.85434,-73.90353,3
12262,52,40.87795,-73.90651,5
40379,52,40.83593,-73.88427,4
40177,52,40.85835,-73.89572,3
11040,52,40.83089,-73.88831,3
19992,52,40.79046,-73.94356,3
25964,52,40.81183,-73.91918,5
9713,52,40.78648,-73.94006,4
10516,52,40.84581,-73.88826,4
39443,52,40.86724,-73.84771,3
26371,52,40.70392,-73.71872,3
42943,52,40.80277,-73.94573,3
40094,52,40.83683,-73.92953,3
41940,52,40.59017,-73.63882,3
11472,52,40.83619,-73.94188,3
7055,52,40.80284,-73.93945,3
41982,52,40.84813,-73.91103,3
38003,52,40.68416,-73.79346,3
11099,52,40.85253,-73.86475,3
33383,55,40.74026,-73.92178,3
36556,55,40.7274,-74.18056,3
42450,55,40.82037,-73.90602,3
35091,55,40.81357,-73.958,3
36296,55,40.80969,-73.94188,5
33504,55,40.83317,-73.89904,3
33435,55,40.72592,-73.84875,3
39601,55,40.73004,-74.07114,3
33393,55,40.737587,-74.246851,5
43388,55,40.80204,-73.95237,3
